x,y (Euler),y (midpoint),y (RK44),EXACT,%Err(E),%Err(M),%Err(RK4)
4.6,11.30627052,-7.53999892,-8.441122943,-9.523631578,-2.1872%,-0.20829%,-0.11367%
4.7,10.20162853,-9.526142511,-10.46629701,-10.58477878,-1.9638%,-0.10001%,-0.011194%
4.8,11.42050818,-8.98343453,-9.983215155,-9.056798523,-2.261%,-0.0081004%,-0.10229%
4.9,15.3995765,-5.75964435,-6.853708459,-5.064690067,-4.0406%,-0.13722%,-0.35323%
5,21.95465336,-0.3807817504,-1.613192731,0.6126869323,34.833%,1.6215%,3.633%
5.1,30.26839856,6.014645055,4.597706732,6.676361711,3.5337%,0.099113%,0.31135%
5.2,39.04184528,11.90757696,10.26608596,11.59030574,2.3685%,0.027374%,0.11425%
5.3,46.78766159,15.75373022,13.86098924,13.95589399,2.3525%,0.12882%,0.0068003%
5.4,52.20384861,16.38289019,14.22958423,12.89002144,3.0499%,0.27097%,0.10392%
5.5,54.53922906,13.34297777,10.93668465,8.308942704,5.5639%,0.60586%,0.31625%
5.6,53.8548974,7.093621803,4.453381201,1.03411664,51.078%,5.8596%,3.3065%
5.7,51.10278291,-1.016917323,-3.870136268,-7.326185432,-7.9754%,-0.86119%,-0.47174%
5.8,47.98174569,-9.00825224,-12.06319514,-14.71230708,-4.2613%,-0.38771%,-0.18006%
5.9,46.58531604,-14.71564969,-17.98179125,-19.10127897,-3.4389%,-0.2296%,-0.058608%
6,48.91085718,-16.33276767,-19.84783646,-19.03668274,-3.5693%,-0.14204%,-0.04261%
6.1,56.34331178,-12.91820728,-16.74997531,-14.06692866,-5.0054%,-0.081661%,-0.19073%
6.2,69.24521405,-4.730353493,-8.971708122,-4.968355078,-14.937%,-0.047903%,-0.80577%
6.3,86.770879,6.71462731,1.956659048,6.327489977,12.713%,0.061183%,0.69077%
6.4,106.976805,18.90583913,13.52479088,17.11458886,5.2506%,0.10466%,0.20975%
6.5,127.2308958,28.88713582,22.79198022,24.53461199,4.1858%,0.1774%,0.071027%
6.6,144.845701,33.9802905,27.1065171,26.30411207,4.5066%,0.29182%,0.030505%
6.7,157.7947748,32.51209943,24.82557044,21.3687191,6.3844%,0.52148%,0.16177%
6.8,165.3348427,24.35679009,15.84845493,10.30655718,15.042%,1.3632%,0.53771%
6.9,168.3623304,11.13329012,1.804998656,-4.650386369,-37.204%,-3.3941%,-1.3881%
7,169.3838706,-4.030216515,-14.18624083,-20.02267639,-9.4596%,-0.79872%,-0.29149%
7.1,172.0681429,-17.14871549,-28.17228344,-31.85694538,-6.4013%,-0.4617%,-0.11566%
7.2,180.4518537,-24.32396089,-36.30581142,-36.70399056,-5.9164%,-0.33729%,-0.010848%
7.3,197.9702842,-22.76449392,-35.85664997,-32.56864722,-7.0786%,-0.30103%,-0.10096%
7.4,226.5464061,-11.62486987,-26.03915079,-19.58148703,-12.569%,-0.40633%,-0.32978%
7.5,265.9819834,7.573163658,-8.420983343,-0.1884329179,-1412.5%,-41.19%,-43.69%
7.6,313.8412016,31.09105003,13.23698217,21.24171375,13.775%,0.46368%,0.37684%
7.7,365.909382,53.7164146,33.72789984,39.35100297,8.2986%,0.36506%,0.1429%
7.8,417.1685434,69.96783884,47.60073669,49.08146215,7.4995%,0.42555%,0.030169%
7.9,463.0911121,75.49676734,50.551947,47.02180157,8.8484%,0.60557%,0.075075%
8,500.9495217,68.3428104,40.66514418,32.46758936,14.429%,1.105%,0.25248%
8.1,530.8035916,49.70067888,19.16044889,7.88909816,66.283%,5.2999%,1.4287%
8.2,555.8758684,23.94803368,-9.592897427,-21.37712007,-27.003%,-2.1203%,-0.55125%
8.3,582.1538542,-2.150655369,-38.88141649,-48.21437667,-13.074%,-0.95539%,-0.19357%
8.4,617.2422193,-20.94381739,-61.14646828,-65.38908454,-10.44%,-0.6797%,-0.064883%
8.5,668.6856376,-25.78002003,-69.86074193,-67.41931619,-10.918%,-0.61762%,-0.036213%
8.6,742.143842,-12.83269433,-61.33393679,-52.18441931,-15.222%,-0.75409%,-0.17533%
8.7,839.8791755,17.61878775,-35.97067969,-21.82992989,-39.474%,-1.8071%,-0.64777%
8.8,959.984196,60.84206991,1.404009713,17.34162377,54.357%,2.5084%,0.91904%
8.9,1096.629577,108.4273937,42.33439851,56.07228801,18.557%,0.93371%,0.245%
9,1241.37688,150.1023432,76.55081616,84.24508024,13.735%,0.78173%,0.091332%
9.1,1385.328763,176.2233273,94.44915487,93.42422699,13.828%,0.88627%,0.010971%
9.2,1521.647688,180.3673069,89.65808285,79.22541905,18.207%,1.2766%,0.13168%
9.3,1647.829303,161.3606021,61.03567726,42.88190055,37.427%,2.7629%,0.42334%
9.4,1767.116099,124.1582495,13.51631062,-8.485391593,-209.25%,-15.632%,-2.5929%
9.5,1888.596144,79.22459545,-42.53333378,-63.10017515,-30.93%,-2.2555%,-0.32594%
9.6,2025.825999,40.4187988,-93.43846738,-107.103244,-19.915%,-1.3774%,-0.12759%
9.7,2194.184043,21.77807556,-125.4239703,-127.9370279,-18.151%,-1.1702%,-0.019643%
9.8,2407.512568,33.91946812,-128.1856199,-117.7476633,-21.446%,-1.2881%,-0.088647%
9.9,2674.851039,80.95594681,-97.93441991,-75.9218207,-36.232%,-2.0663%,-0.28994%
10,2998.124017,158.7831645,-39.0670402,-10.00767402,-300.58%,-16.866%,-2.9037%
